2528	CAR	5
2528	LAT	94
2542	CAR	2
2542	LAT	23
2546	LAT	23
2547	CAR	19
2547	NAS	9
2554	CAR	8
2554	LAT	35
2570	CAR	15
2593	CAR	19
2602	CAR	13
2602	LAT	2
2602	NAS	7
2616	NAS	134
2619	LAT	146
2621	LAT	128
2622	NAS	18
2624	NAS	44
2629	NAS	36
2631	NAS	170
2635	LAT	69
2636	CAR	9
2636	LAT	112
2639	LAT	81
2641	LAT	162
2641	NAS	2
2648	CAR	15
2651	CAR	57
2652	CAR	1
2652	LAT	30
2670	CAR	4
2670	LAT	11
2675	CAR	5
2675	LAT	45
2683	NAS	18
2692	CAR	11
2692	LAT	13
2693	CAR	6
2693	LAT	20
2709	LAT	20
2710	LAT	29
2712	CAR	25
2712	LAT	4
2719	NAS	16
2731	LAT	15
2735	CAR	1
2735	LAT	7
2735	NAS	10
2754	NAS	18
2756	NAS	63
2757	LAT	19
2767	CAR	6
2767	NAS	77
2769	CAR	57
2775	CAR	53
2776	CAR	85
2776	NAS	1
2795	NAS	25
2807	NAS	2
2807	WEA	29
2809	NAS	81
2828	NAS	20
2833	CAR	7
2833	LAT	7
2833	NAS	18
2836	NAS	53
2838	NAS	20
2844	LAT	59
2844	WEA	2
2852	NAS	52
2854	LAT	58
2854	NAS	17
2854	WEA	9
2855	NAS	172
2864	CAR	13
2864	NAS	2
2872	NAS	20
2875	CAR	32
2887	NAS	17
2902	CAR	30
2904	CAR	22
2904	LAT	8
2904	NAS	6
2912	NAS	32
2934	NAS	15
2934	WEA	51
2935	LAT	39
2940	NAS	17
2940	WEA	19
2942	NAS	22
2946	CAR	71
2946	NAS	4
2949	CAR	18
2949	NAS	1
2959	NAS	93
2964	NAS	27
2967	NAS	49
2977	NAS	24
2980	NAS	19
2983	NAS	51
2985	NAS	22
2989	NAS	55
2989	WEA	23
2992	NAS	39
2998	CAR	12
2998	LAT	4
3008	LAT	25
3010	LAT	132
3014	NAS	17
3018	NAS	39
3019	CAR	5
3019	LAT	16
3022	NAS	47
3024	LAT	79
3024	NAS	4
3024	WEA	18
3030	CAR	166
3030	NAS	19
3049	CAR	9
3049	NAS	13
3051	CAR	14
3051	NAS	13
3056	NAS	17
3059	NAS	46
3063	NAS	31
3064	CAR	106
3066	NAS	27
3096	LAT	205
3096	NAS	24
3103	NAS	21
3114	CAR	10
3114	LAT	48
3114	NAS	4
3156	CAR	5
3156	LAT	22
3158	CAR	9
3158	LAT	13
3225	CAR	47
3226	CAR	2
3226	LAT	41
3268	LAT	48
3269	CAR	52
3274	LAT	27
3275	CAR	2
3275	LAT	14
3300	LAT	22
3301	LAT	17
3301	NAS	9
3302	LAT	16
3302	NAS	27
3303	LAT	41
3304	NAS	15
3307	LAT	18
3307	NAS	11
3309	NAS	24
3317	LAT	27
3317	NAS	12
3321	LAT	54
3327	NAS	15
3334	CAR	4
3334	LAT	50
3335	NAS	67
3341	CAR	15
3341	NAS	3
3345	CAR	2
3345	LAT	38
3349	CAR	6
3349	NAS	28
3351	NAS	18
3354	CAR	21
3354	LAT	11
3356	NAS	19
3367	CAR	23
3367	NAS	95
3377	LAT	91
3379	NAS	15
3384	CAR	97
3384	WEA	155
3390	LAT	26
3390	NAS	268
3391	CAR	5
3391	NAS	25
3392	NAS	15
3395	NAS	21
3406	CAR	6
3406	NAS	20
3410	LAT	78
3410	NAS	39
3413	NAS	20
3418	NAS	176
3420	NAS	20
3424	NAS	24
3432	NAS	20
3434	CAR	9
3434	NAS	10
3441	NAS	27
3441	SEC	22
3443	NAS	173
3445	CAR	39
3445	NAS	7
3446	CAR	10
3446	LAT	5
3446	NAS	4
3449	CAR	5
3449	NAS	10
3452	LAT	16
3454	CAR	1
3454	NAS	17
3471	NAS	92
3514	CAR	56
3514	LAT	55
