21318,1749626,,,,1
21318,1816193,,,8,1
21319,2392984,12829,,23,1
21326,2465724,1,,,1
21333,1811588,,,47,1
21343,2055887,,,,1
21589,2390190,38953,,16,1
21670,1656320,3676,,17,1
21670,1715186,,,,1
21670,1716105,5615,,5,1
21670,1746919,,,23,1
21670,1769036,39160,,8,1
21670,1814488,,,,1
21670,1826190,,,39,1
21670,1958657,39161,,29,1
21670,2022146,39162,,48,1
21670,2055919,39163,(as Jesus Alcaide),20,1
21670,2056804,39164,,32,1
21670,2233175,,,,1
21670,125308,39168,(1979-1980),2,1
21670,731292,,,,1
21670,1075733,,,,1
21670,1509796,,,,1
21708,1811256,39202,,17,1
21708,2000035,39203,,19,1
21708,2384487,10368,,46,1
21709,1797002,34822,,13,1
21734,424871,1,,,1
21812,2460190,,,,1
21816,2407058,,(as Eduardo Arcaraz),,1
21820,2207750,39415,,36,1
21831,1826744,34885,,,1
21859,2065122,,,,1
21890,1993269,39499,,22,1
21934,1843542,1713,,3,1
21934,1908130,25053,,,1
21949,2091722,7569,(as Juan Antonio Alcoba 'Macareno'),43,1
21953,2187688,39578,,46,1
21954,1762647,,,,1
21954,2032961,39590,,,1
21975,1646640,39599,,9,1
21975,2149972,39638,,20,1
22036,1814154,10338,(as Javier Alkorta),11,1
22036,1987156,,,,1
22088,1763958,25235,(as Carmelo Alcantara),11,1
22088,1851898,9096,,10,1
22088,2104400,39826,,,1
22088,196455,,,,1
22090,1998630,3600,,,1
22090,2054278,39828,,,1
22096,2273864,,,,1
22099,2093145,,,,1
22109,1659547,39855,,,1
22109,1667109,22064,,7,1
22109,1965123,6496,,3,1
22110,1988027,,,95,1
22111,1993001,,,18,1
22113,1656070,9991,,8,1
22116,818384,7292,,14,1
22118,1619748,,,,1
22119,1622283,39913,,24,1
22119,1715628,39914,,29,1
22119,1811938,39737,,18,1
22119,1814290,39915,,19,1
22119,2233099,,,11,1
22123,1741431,,,,1
22123,1749101,39917,,,1
22123,1810410,,(as Vic Winner),,1
22125,1621424,39925,,3,1
22125,1637871,768,,18,1
22125,1693027,,(as Angel Alcazar),18,1
22125,1727270,39927,(as Angel Alcázar),2,1
22125,1742564,1591,,21,1
